sf_field	db_column
Id	sfid
Name	name
DKRetail__ProductCode__c	product_code
DKRetail__ProductType__c	product_type
DKRetail__ProductStatus__c	product_status
DKRetail__StoreCondition__c	storage_condition
DKRetail__ShelfLife__c	shelf_life
DKRetail__ShelfLifeUnit__c	shelf_life_unit
ShelfLifeFull__c	shelf_life_full
DKRetail__Category1__c	category1
DKRetail__Category2__c	category2
DKRetail__Category3__c	category3
DKRetail__CategoryCode1__c	category_code1
DKRetail__CategoryCode2__c	category_code2
DKRetail__CategoryCode3__c	category_code3
DKRetail__Unit__c	unit
DKRetail__OrderingUnit__c	ordering_unit
DKRetail__ConversionQuantity__c	conversion_quantity
DKRetail__BoxReceivingQuantity__c	box_receiving_quantity
DKRetail__StandardUnitPrice__c	standard_unit_price
SuperTax__c	super_tax
DKRetail__LaunchDate__c	launch_date
DKRetail__LogisticsBarCode__c	logistics_barcode
TasteGift__c	taste_gift
ProductFeatures__c	product_features
SellingPoint__c	selling_point
Purpose__c	purpose
TargetAccountType__c	target_account_type
Allergen__c	allergen
CrossContamination__c	cross_contamination
ImgRefPath__c	img_ref_path
ImgRefPath_front__c	img_ref_path_front
ImgRefPath_back__c	img_ref_path_back
ImgRefPathTXT__c	img_ref_path_txt
Pallet__c	pallet
DKRetail__Barcode__c	barcode
manufacture__c	manufacture
manufacture_detail__c	manufacture_detail
Claim_Management__c	claim_management
New_Product__c	new_product_sfid
StoreCondition__c	store_condition_text
OwnerId	owner_sfid
CreatedById	created_by_sfid
LastModifiedById	last_modified_by_sfid
CreatedDate	created_at
LastModifiedDate	updated_at
